
Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2016-09-02T17:47:59PDT



Main Information Table for Searching NED within 500.000 arcmin of 194.950000, 27.980000



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA(deg)	DEC(deg)	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Distance (arcmin)	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
68	SDSS J125935.18+275605.0	194.89658 	  27.93473 	G	  4193	 0.013986 	    	18.6g	  3.923	18	0	26	4	2	4	0
69	COMAi J130004.034+280030.79	195.01691 	  28.00861 	G	  6360	 0.021215 	    	20.00	  3.939	11	0	9	3	2	0	4
70	SDSS J130006.10+275841.8	195.02546 	  27.97831 	G	  7816	 0.026071 	    	15.5g	  4.000	31	2	11	2	7	0	0
71	SDSS J125931.13+275717.6	194.87971 	  27.95492 	G	  7074	 0.023596 	    	18.0g	  4.018	15	0	9	3	3	0	2
72	SDSS J125950.18+275445.4	194.95909 	  27.91264 	G	  7250	 0.024184 	    	18.2g	  4.070	29	0	31	6	4	4	0
73	SDSS J125955.69+275503.7	194.98204 	  27.91769 	G	  6677	 0.022272 	    	19.60	  4.106	23	0	16	4	3	0	0
74	NGC 4876	194.93502 	  27.91246 	G	  6678	 0.022275 	    	15.1g	  4.129	158	3	60	10	19	10	0
75	NGC 4871	194.87485 	  27.95643 	G	  6729	 0.022445 	    	14.9g	  4.226	118	1	55	8	14	8	1
76	IC 4011	195.02662 	  28.00413 	G	  7268	 0.024243 	    	15.7g	  4.310	127	2	60	8	13	6	1
77	COMAi J130005.370+275644.28	195.02240 	  27.94569 	G	  5777	 0.019270 	    	23.1R	  4.354	4	0	3	0	1	0	2
78	NGC 4889	195.03387 	  27.97700 	G	  6495	 0.021665 	    	12.9g	  4.448	469	12	166	18	28	10	3
79	SDSS J125947.23+280316.4	194.94680 	  28.05456 	G	  9533	 0.031800 	    	19.0g	  4.477	8	0	17	2	0	4	0
80	SDSS J130007.47+275729.0	195.03113 	  27.95806 	G	  6267	 0.020904 	    	18.66	  4.496	20	0	11	2	0	0	0
81	SDSS J125943.36+275422.0	194.93069 	  27.90613 	G	  6440	 0.021481 	    	21.4g	  4.549	4	0	16	1	1	4	0
82	SDSS J125930.25+280115.0	194.87608 	  28.02085 	G	  7166	 0.023903 	    	18.7g	  4.620	20	0	31	6	3	4	0
83	2MASX J13000538+2801282	195.02247 	  28.02445 	G	  5899	 0.019677 	    	16.4g	  4.674	59	0	44	7	9	7	0
84	SDSS J125929.32+275631.9	194.87219 	  27.94221 	G	  5613	 0.018723 	    	19.2g	  4.706	12	0	26	4	2	4	0
85	SDSS J130008.39+275716.7	195.03497 	  27.95466 	G	  6206	 0.020700 	    	18.8g	  4.752	10	0	26	3	0	4	0
86	2MASX J12592657+2759548	194.86081 	  27.99848 	G	  6684	 0.022295 	    	16.4g	  4.854	68	0	37	6	11	7	0
87	NGC 4875	194.90795 	  27.90733 	G	  8045	 0.026835 	    	15.4g	  4.897	99	2	55	7	14	7	0
88	SDSS J125928.50+280109.3	194.86875 	  28.01925 	G	  6045	 0.020164 	    	19.0b	  4.907	21	0	16	5	3	0	0
89	SDSS J125932.10+275515.7	194.88376 	  27.92105 	G	  6815	 0.022732 	    	18.5g	  4.983	20	0	33	4	2	4	1
90	IC 3968	194.85620 	  27.97320 	G	  6112	 0.020387 	    	16.2g	  4.987	57	1	36	5	10	6	0
91	ABELL 1656:[EF2011] 4002	194.97780 	  28.06006 	G	 11560	 0.038560 	PHOT	21.6g	  5.024	1	0	0	0	1	0	0
92	2MASX J12592529+2758048	194.85553 	  27.96793 	G	  7698	 0.025678 	    	16.6b	  5.058	55	0	43	6	8	7	0
93	2MASX J13001036+2757332	195.04312 	  27.95907 	G	  6336	 0.021134 	    	17.9g	  5.092	14	0	33	2	3	6	0
94	ABELL 1656:[EF2011] 4141	194.92810 	  28.06325 	G	 10930	 0.036460 	PHOT	20.7g	  5.128	1	0	0	0	1	0	0
95	2MASS J13000711+2755511	195.02969 	  27.93096 	G	  7726	 0.025771 	    	19.20	  5.147	21	0	31	6	3	4	1
96	SDSS J125925.04+275948.2	194.85437 	  27.99674 	G	  5507	 0.018369 	    	17.8g	  5.165	33	0	31	5	2	4	0
97	SDSS J125935.96+275422.0	194.89987 	  27.90612 	G	  9054	 0.030200 	    	18.7g	  5.168	11	0	28	4	2	4	2
98	COMAi J125930.828+280230.68	194.87850 	  28.04190 	G	  6549	 0.021845 	    	19.54	  5.304	9	0	10	2	2	0	4
99	[ANM98] +1.66+1.02	194.89278 	  27.90734 	G	  6805	 0.022700 	    	21.30	  5.311	2	0	0	0	0	0	4
100	COMAi J125926.032+280104.00	194.85857 	  28.01784 	G	  5486	 0.018299 	    	21.5R	  5.350	5	0	1	0	1	0	1
101	2MASX J12593141+2802478	194.88101 	  28.04660 	G	  6979	 0.023279 	    	15.4g	  5.415	59	2	39	5	10	7	0
102	SDSS J125933.65+275423.4	194.89022 	  27.90653 	G	  7075	 0.023600 	    	22.9g	  5.429	2	0	8	1	0	4	2
103	SDSS J125944.68+275323.2	194.93623 	  27.88977 	G	  6847	 0.022839 	    	18.35	  5.463	23	0	31	3	1	4	0
104	SDSS J125923.25+275854.9	194.84688 	  27.98192 	G	  8874	 0.029600 	    	19.66	  5.465	8	0	2	1	0	0	0
105	2MASX J12595760+2803543	194.99005 	  28.06510 	G	  5822	 0.019420 	    	17.2g	  5.529	37	0	40	3	4	6	0
106	SDSS J130010.38+275617.0	195.04327 	  27.93806 	G	  7485	 0.024967 	    	20.3r	  5.547	6	0	16	1	1	4	1
107	2MASX J12592868+2802258	194.86969 	  28.04052 	G	  5569	 0.018576 	    	16.3g	  5.593	49	2	36	6	10	7	0
108	2MASX J12595140+2804232	194.96442 	  28.07347 	G	  7457	 0.024874 	    	17.1g	  5.660	33	0	26	3	4	2	0
109	2MASX J12592536+2756038	194.85557 	  27.93449 	G	  7604	 0.025364 	    	17.3g	  5.701	36	0	35	3	3	6	1
110	[IBG2003] J130006+280246	195.02779 	  28.04604 	G	  8475	 0.028270 	PHOT	19.8r	  5.717	3	0	0	0	1	0	1
111	2MASX J12592136+2758248	194.83922 	  27.97357 	G	  6020	 0.020081 	    	16.70	  5.883	41	0	35	5	5	6	0
112	COMAi J130014.209+280026.46	195.05922 	  28.00735 	G	  8149	 0.027182 	    	21.5R	  6.015	5	0	1	0	1	0	0
113	SDSS J130011.60+275523.0	195.04834 	  27.92307 	G	  6050	 0.020181 	    	23.0g	  6.232	4	0	18	1	1	3	0
114	SDSS J125919.71+275824.5	194.83216 	  27.97350 	G	  7206	 0.024037 	    	18.0g	  6.256	28	0	33	3	5	4	0
115	SDSS J125920.03+275746.9	194.83349 	  27.96304 	G	  7495	 0.025000 	    	22.5g	  6.257	2	0	8	1	0	4	0
116	COMAi J130016.555+275826.59	195.06900 	  27.97404 	G	  6873	 0.022926 	    	22.9R	  6.316	4	0	3	0	1	0	0
117	NGC 4894	195.06882 	  27.96752 	G	  4634	 0.015457 	    	15.7g	  6.341	83	1	50	9	12	7	1
118	ABELL 1656:[BDG95] +0085-0422 	194.96500 	  28.08778 	G	  9276	 0.030941 	    	     	  6.515	2	0	0	0	1	0	0
119	SDSS J125923.41+275510.4	194.84755 	  27.91957 	G	  6824	 0.022762 	    	18.2g	  6.529	23	0	28	3	0	4	1
120	SDSS J130017.64+275915.1	195.07350 	  27.98753 	G	  6136	 0.020467 	    	18.70	  6.559	21	0	16	4	2	0	2
121	COMAi J130013.519+280214.57	195.05633 	  28.03738 	G	  5327	 0.017769 	    	19.5r	  6.602	5	0	1	0	1	0	2
122	SDSS J130016.68+275638.9	195.06950 	  27.94414 	G	  5366	 0.017899 	    	20.28	  6.689	9	0	1	2	2	0	0
123	SDSS J130018.27+275817.6	195.07613 	  27.97158 	G	  4950	 0.016511 	    	22.5g	  6.702	7	0	16	2	1	4	0
124	NGC 4898 NED01	195.07362 	  27.95539 	G	  6903	 0.023026 	    	14.7g	  6.716	95	1	39	7	8	6	0
125	COMAi J130018.525+275829.94	195.07726 	  27.97502 	G	  7014	 0.023396 	    	22.8R	  6.750	3	0	3	0	1	0	1
126	SDSS J130001.03+280454.7	195.00429 	  28.08186 	G	  7765	 0.025900 	    	17.4i	  6.754	7	0	4	2	0	0	0
127	NGC 4898	195.07500 	  27.95722 	GPair	  6661	 0.022219 	    	14.48	  6.764	37	2	19	3	10	1	2
128	2MASX J12594422+2752037	194.93422 	  27.86769 	G	  6196	 0.020668 	    	17.1g	  6.791	37	0	37	3	5	6	0
129	NGC 4898 NED02	195.07539 	  27.95655 	G	  6371	 0.021251 	    	16.00	  6.792	50	1	9	4	2	0	3
130	SDSS J130018.09+275723.7	195.07540 	  27.95660 	G	  6380	 0.021281 	    	15.6g	  6.792	4	0	15	1	1	4	2
131	SDSS J130015.68+280146.3	195.06533 	  28.02954 	G	  6985	 0.023299 	    	21.6g	  6.794	5	0	16	1	1	3	0
132	NGC 4869	194.84735 	  27.91159 	G	  6859	 0.022879 	    	14.5g	  6.815	266	5	75	15	19	11	3
133	IC 3973	194.87844 	  27.88421 	G	  4755	 0.015861 	    	14.9g	  6.886	113	1	59	10	17	7	1
134	SDSS J125916.70+275857.2	194.81961 	  27.98257 	G	  7195	 0.024000 	    	20.1g	  6.911	11	0	26	2	0	4	1
135	IC 4021	195.06144 	  28.04130 	G	  5737	 0.019137 	    	15.5g	  6.955	135	3	59	11	14	10	0
136	SDSS J125937.20+275213.6	194.90500 	  27.87044 	G	  6189	 0.020644 	    	17.90	  6.993	21	0	16	3	2	0	0
137	COMAi J130019.734+275904.81	195.08231 	  27.98472 	G	  7035	 0.023466 	    	22.9R	  7.016	6	0	3	0	1	0	2
138	2MASX J13001890+2800332	195.07867 	  28.00931 	G	  6202	 0.020688 	    	17.8g	  7.040	29	0	35	4	6	6	0
139	SDSS J125947.76+280552.4	194.94904 	  28.09789 	G	  6398	 0.021340 	    	18.3g	  7.074	10	0	17	3	0	4	0
140	SDSS J130013.42+280311.8	195.05593 	  28.05329 	G	  8135	 0.027135 	    	18.23	  7.129	21	0	27	4	2	4	0
141	[IBG2003] J125921+275436	194.84125 	  27.91000 	G	  6875	 0.022932 	    	18.6r	  7.132	2	0	0	0	0	0	2
142	SDSS J130016.37+275522.2	195.06823 	  27.92284 	G	  4665	 0.015561 	    	20.51	  7.143	9	0	16	3	2	4	0
143	SDSS J130020.18+275801.6	195.08410 	  27.96711 	G	  6290	 0.020981 	    	24.0g	  7.148	4	0	8	1	1	3	0
144	2MASX J12595178+2805542	194.96567 	  28.09853 	G	  7634	 0.025464 	    	17.3g	  7.160	29	0	27	3	4	6	0
145	SDSS J125958.09+275157.9	194.99206 	  27.86611 	G	  8634	 0.028800 	    	19.9g	  7.188	8	0	17	2	0	4	2
146	ABELL 1656:[EF2011] 4284	194.99062 	  28.09477 	G	 10433	 0.034800 	PHOT	22.3g	  7.214	1	0	0	0	1	0	0
147	2MASS J13001117+2803551	195.04641 	  28.06525 	G	  7387	 0.024640 	    	18.05	  7.228	34	0	33	6	3	4	0
148	NGC 4867	194.81353 	  27.97072 	G	  4786	 0.015964 	    	15.1g	  7.253	140	1	71	8	14	11	0
149	2MASX J13001877+2756135	195.07823 	  27.93705 	G	  5293	 0.017656 	    	16.66	  7.268	47	1	37	6	6	7	1
150	CGCG 160-235	194.94218 	  27.85724 	G	  8117	 0.027075 	    	15.6g	  7.377	66	0	48	5	10	7	0
151	IC 4012	195.03329 	  28.07857 	G	  7268	 0.024243 	    	15.4g	  7.378	128	2	64	10	17	6	0
152	SDSS J125958.74+280551.9	194.99476 	  28.09775 	G	  2998	 0.010000 	    	19.1g	  7.452	7	0	15	2	1	4	0
153	[APS2006] J195.049881+28.06775	195.04988 	  28.06775 	G	  7104	 0.023696 	    	21.8R	  7.464	2	0	1	0	1	0	1
154	GIN 762	194.84424 	  27.89688 	G	  5087	 0.016968 	    	16.0g	  7.503	67	0	40	5	9	7	0
155	2MASX J12593524+2751488	194.89702 	  27.86364 	G	  6274	 0.020928 	    	17.1g	  7.525	49	0	38	6	5	6	0
156	SDSS J130018.41+275516.9	195.07671 	  27.92136 	G	  8155	 0.027202 	    	19.8r	  7.581	6	0	1	0	1	0	0
157	ABELL 1656:[MHM2009] C1B-132  	194.91742 	  27.85647 	G	  3803	 0.012687 	    	16.5g	  7.610	2	0	2	0	1	0	1
158	2MASX J12592846+2805078	194.86857 	  28.08539 	G	  3720	 0.012409 	    	15.41	  7.654	34	0	40	4	2	6	0
159	SDSS J130018.70+275512.6	195.07792 	  27.92017 	G	  6925	 0.023100 	    	20.10	  7.672	14	0	2	4	2	0	0
160	SDSS J130022.65+275754.9	195.09439 	  27.96526 	G	  5216	 0.017400 	    	19.7g	  7.702	15	0	26	5	2	4	0
161	2MASX J12594007+2751177	194.91710 	  27.85495 	G	  3820	 0.012742 	    	16.5g	  7.703	47	1	41	5	10	6	1
162	NGC 4864	194.80462 	  27.97700 	G	  6755	 0.022532 	    	14.5g	  7.705	156	5	66	10	18	11	1
163	SDSS J125939.47+275116.5	194.91458 	  27.85453 	G	  3834	 0.012789 	    	18.66	  7.759	15	0	14	3	2	4	0
164	SDSS J125925.75+280453.2	194.85731 	  28.08145 	G	  7694	 0.025664 	    	18.9g	  7.820	7	0	26	3	1	4	0
165	COMAi J130023.227+275948.91	195.09682 	  27.99694 	G	  6321	 0.021085 	    	21.1R	  7.845	5	0	1	0	1	0	0
166	SDSS J130014.15+280407.4	195.05896 	  28.06872 	G	  7255	 0.024200 	    	20.22	  7.851	11	0	2	2	0	0	0
167	2MASX J13001286+2804322	195.05360 	  28.07550 	G	  7506	 0.025037 	    	15.9g	  7.933	69	0	41	8	14	7	1
168	2MASS J12593186+2751406	194.88288 	  27.86131 	G	  4640	 0.015477 	    	18.0g	  7.961	30	0	16	4	5	0	2
169	SDSS J130022.84+280057.1	195.09519 	  28.01586 	G	  9272	 0.030928 	    	21.6g	  7.987	2	0	16	1	1	4	2
170	SDSS J125931.60+280601.9	194.88167 	  28.10053 	G	  7420	 0.024750 	    	18.22	  8.087	17	0	9	2	1	0	0
171	2MASX J13001702+2803502	195.07095 	  28.06391 	G	  6152	 0.020521 	    	16.1g	  8.148	72	0	47	8	7	7	0
172	SDSS J130024.85+275921.8	195.10356 	  27.98940 	G	  9217	 0.030745 	    	20.9g	  8.156	9	0	16	3	1	4	1
173	SDSS J130018.34+280333.4	195.07643 	  28.05929 	G	  9977	 0.033280 	    	18.1g	  8.215	20	0	26	5	4	4	0
174	2MASS J12591153+2800334	194.79811 	  28.00927 	G	  6942	 0.023156 	    	17.5g	  8.236	37	0	28	6	3	4	0
175	MRK 0060 NED01	195.03821 	  27.86656 	G	  5136	 0.017132 	    	15.9g	  8.258	49	0	43	3	4	6	0
176	COMAi J130021.966+280218.24	195.09161 	  28.03855 	G	  8051	 0.026855 	    	20.2R	  8.283	4	0	1	0	1	0	0
177	GIN 763	194.83405 	  27.88600 	G	  6452	 0.021522 	    	16.0g	  8.342	80	0	49	7	14	7	0
178	2MASX J12592022+2804278	194.83416 	  28.07429 	G	  7165	 0.023900 	    	17.4g	  8.346	32	0	37	3	5	6	0
179	MRK 0060	195.04083 	  27.86611 	GPair	  5128	 0.017105 	    	16.0 	  8.360	56	3	31	4	6	3	0
180	COMAi J130025.049+275637.93	195.10443 	  27.94390 	G	  6946	 0.023169 	    	19.9r	  8.466	6	0	1	0	1	0	1
181	COMAi J125932.496+275102.47	194.88548 	  27.85074 	G	  8184	 0.027300 	    	21.5g	  8.477	10	0	9	1	1	0	1
182	SDSS J130022.90+275515.1	195.09544 	  27.92088 	G	  5270	 0.017579 	    	21.00	  8.485	10	0	16	3	3	4	1
183	MRK 0060 NED02	195.04265 	  27.86397 	G	  9902	 0.033030 	    	16.5g	  8.520	49	0	34	5	8	6	1
184	IC 4026	195.09223 	  28.04701 	G	  8198	 0.027346 	    	15.3g	  8.540	111	1	66	9	13	7	0
185	SDSS J130026.16+280032.0	195.10900 	  28.00890 	G	  5528	 0.018440 	    	18.6g	  8.600	18	0	31	6	2	4	0
186	SDSS J130026.78+275953.4	195.11158 	  27.99817 	G	  7195	 0.024000 	    	21.4g	  8.630	7	0	16	2	1	4	0
187	SDSS J125915.58+275356.9	194.81493 	  27.89916 	G	  5219	 0.017409 	    	18.8g	  8.648	11	0	26	3	0	4	0
188	SDSS J125941.34+275014.8	194.92228 	  27.83745 	G	  3238	 0.010800 	    	20.12	  8.678	6	0	17	2	0	4	0
189	SDSS J130021.38+280327.3	195.08911 	  28.05761 	G	  7870	 0.026251 	    	22.8g	  8.716	2	0	16	1	1	4	1
190	2MASS J13002482+2755353	195.10342 	  27.92664 	G	  7955	 0.026535 	    	17.5g	  8.739	39	0	33	6	3	4	1
191	SDSS J125926.45+275124.7	194.86024 	  27.85689 	G	  5007	 0.016700 	    	18.5g	  8.787	21	0	33	5	2	4	0
192	IC 3976	194.87252 	  27.85014 	G	  6865	 0.022899 	    	15.3g	  8.808	104	1	56	9	15	7	2
193	NGC 4865	194.83279 	  28.08431 	G	  4700	 0.015677 	    	14.3g	  8.815	132	3	73	10	15	12	0
194	SDSS J130013.63+275201.8	195.05679 	  27.86719 	G	  7451	 0.024854 	    	17.16	  8.824	29	0	16	3	2	0	0
195	2MASX J12595104+2749592	194.96251 	  27.83296 	G	  7895	 0.026335 	    	17.0g	  8.847	43	0	37	3	2	6	0
196	SDSS J130027.33+280033.4	195.11391 	  28.00929 	G	  6428	 0.021441 	    	20.0g	  8.860	12	0	27	3	2	4	0
197	COMAi J130019.310+280422.03	195.08055 	  28.07289 	G	  7349	 0.024514 	    	21.8R	  8.881	5	0	1	0	1	0	0
198	2MASX J13002172+2753545	195.09028 	  27.89856 	G	  4890	 0.016311 	    	17.42	  8.898	35	0	41	8	4	6	0
