TABLE NAME udg ra dec cz sepDEG LocalEnv GlobalEnv Density MUg0 Mnuv Mg Mr Mz Re b/a n UV g-r RedSequence
2 SMDG1258011+271126 TRUE 194.50446 27.19063 7792 0.88 Dense Cluster High 24.338 -12.97 -15.44 -15.82 -16.13 5.02 0.44 1.181 No 0.38 FALSE
2 SMDG1301304+282228 TRUE 195.37646 28.37473 7051 0.54 Dense Cluster High 25.497 -10.78 -14.54 -15.2 -15.45 2.84 0.93 0.768 No 0.66 TRUE
2 SMDG1302166+285717 TRUE 195.569 28.95475 10150 1.12 Dense Non-Cluster High 23.793 -12.85 -16.1 -16.66 -16.99 9.63 0.37 1.791 No 0.56 FALSE
2 SMDG1304536+274252 TRUE 196.22317 27.71461 7353 1.15 Dense Cluster High 24.065 -12.51 -16.59 -17.18 -17.55 3.97 0.84 0.774 No 0.6 TRUE
2 SMDG1335454+281225 TRUE 203.93913 28.20703 12004 7.93 Sparse Non-Cluster Low 25.489 -12.71 -15.52 -15.7 -15.82 3.9 0.69 0.334 No 0.18 FALSE
3 SMDG1103517+284118 FALSE 165.9642 28.69097 668 25.53 Unconstrained Non-Cluster Low 25.711 -9.73 -11.55 -11.82 -14.84 0.709 0.89 0.687 Yes 0.27 FALSE
3 SMDG1220188+280132 TRUE 185.07814 28.02564 2283 8.72 Sparse Non-Cluster Low 24.323 -12.80 -14.31 -14.60 -17.61 1.975 0.65 0.984 Yes 0.29 FALSE
3 SMDG1223451+283550 FALSE 185.93778 28.59711 2377 7.96 Sparse Non-Cluster Low 24.238 -8.76 -12.65 -13.18 -16.19 0.759 0.6 0.723 No 0.53 TRUE
3 SMDG1231329+232917 FALSE 187.88698 23.48804 1060 7.79 Sparse Non-Cluster Low 23.972 NaN -12.43 -12.65 -15.66 0.765 0.48 0.88 No 0.22 FALSE
3 SMDG1239050+323015 FALSE 189.77103 32.50483 613 6.36 Unconstrained Non-Cluster Low 24.003 -9.49 -10.89 -10.98 -11.06 0.424 0.847 1.361 Yes 0.11 FALSE
3 SMDG1240017+261920 FALSE 190.00685 26.32191 452 4.7 Unconstrained Non-Cluster Low 24.544 -9.75 -10.71 -10.82 -13.83 0.297 0.69 0.54 Yes 0.11 FALSE
3 SMDG1253571+291500 FALSE 193.48782 29.24995 502 1.81 Unconstrained Non-Cluster Low 24.485 -6.13 -9.57 -10.36 -13.37 0.218 0.52 0.685 No 0.79 TRUE
3 SMDG1313189+312452 FALSE 198.32834 31.41454 802 4.52 Unconstrained Non-Cluster Low 24.249 -10.20 -13.82 -14.15 -17.15 1.711 0.78 1.226 Yes 0.33 FALSE
4 1300232+275225 FALSE 195.0964 27.87362 6980 0.17 Dense Cluster High 22.749 -11.46 -15.27 -15.93 -16.34 1.48 0.85 1.073 No 0.66 TRUE
4 1300243+275155 FALSE 195.10137 27.86559 6367 0.18 Dense Cluster High 23.343 -11.44 -14.8 -15.49 -15.93 1.81 0.83 1.235 No 0.69 TRUE
3 SMDG1300263+272735 FALSE 195.10932 27.45978 6935 0.54 Dense Cluster High 22.975 -13.62 -16.75 -17.11 -17.38 3.53 0.44 0.749 Yes 0.35 FALSE
3 SMDG1221577+281436 FALSE 185.49022 28.24333 450 8.35 Unconstrained Non-Cluster Low 25.094 -8.42 -11.13 -11.74 -12.08 0.54 0.58 0.596 Yes 0.61 TRUE
3 SMDG1225185+270858 TRUE 186.32692 27.14954 5887 7.69 Sparse Non-Cluster Low 24.101 -13.26 -14.93 -15.39 -15.71 2.63 0.63 1.042 Yes 0.46 FALSE
3 SMDG1225277+282903 FALSE 186.36482 28.48412 483 7.58 Unconstrained Non-Cluster Low 24.01 -11.84 -12.5 -12.5 -12.42 0.51 0.82 0.569 Yes 0 FALSE
3 SMDG1226040+241802 TRUE 186.51658 24.30058 11587 8.42 Sparse Non-Cluster Low 24.224 -14.30 -16.64 -17.03 -17.26 4.64 0.81 0.845 Yes 0.39 FALSE
3 SMDG1230359+273310 TRUE 187.64953 27.55309 6794 6.48 Sparse Non-Cluster Low 24.335 -13.86 -15.51 -15.83 -15.88 3.24 0.4 0.487 Yes 0.32 FALSE
3 SMDG1241425+273352 TRUE 190.42695 27.56472 7764 4.03 Sparse Non-Cluster Low 24.118 -14.33 -16.22 -16.57 -16.77 3.75 0.78 0.852 Yes 0.35 FALSE
3 SMDG1248019+261235 TRUE 192.00785 26.2102 6042 3.16 Dense Non-Cluster High 24.496 -13.75 -15.66 -15.94 -16.11 2.91 0.79 0.613 Yes 0.29 FALSE
3 SMDG1255415+191239 FALSE 193.92451 19.21168 416 8.82 Unconstrained Non-Cluster Low 24.239 -11.22 -13.23 -13.25 -13.1 1.24 0.45 0.786 Yes 0.02 FALSE
3 SMDG1255554+272736 TRUE 193.98085 27.46002 7188 1.01 Dense Cluster High 25.238 -11.59 -14.47 -15.18 -15.65 2.93 0.72 0.849 No 0.71 TRUE
3 SMDG1259305+274450 TRUE 194.87689 27.7474 7343 0.24 Dense Cluster High 24.7 -10.85 -15.04 -15.69 -15.98 2.8 0.86 0.883 No 0.65 TRUE
3 SMDG1259487+274639 TRUE 194.95297 27.77764 6959 0.2 Dense Cluster High 25.736 -11.62 -14.4 -14.73 -14.73 3.38 0.53 0.542 No 0.33 FALSE
3 SMDG1300204+274924 TRUE 195.085 27.8233333333 9420 0.2 Dense Cluster High 25.151 -11.98 -15.1 -15.6 -15.9 2.94 0.76 0.525 No 0.5 FALSE
3 SMDG1300206+274712 TRUE 195.0858 27.78674 6548 0.23 Dense Cluster High 24.326 -12.41 -15.47 -16.16 -16.47 3.48 0.65 0.95 No 0.69 TRUE
3 SMDG1300580+265835 TRUE 195.24174 26.97667 6280 1.04 Sparse Cluster High 24.826 -8.76 -15.52 -16.13 -16.52 3.99 0.68 0.826 No 0.6 TRUE
3 SMDG1301004+210356 TRUE 195.25179 21.06551 7061 6.92 Sparse Non-Cluster Low 24.291 -12.63 -15.47 -15.88 -16.09 3.97 0.68 1.3 No 0.41 FALSE
3 SMDG1301583+275011 TRUE 195.49273 27.83635 8315 0.5 Sparse Cluster High 25.215 -13.51 -15.87 -16.51 -16.81 5.69 0.77 0.927 No 0.64 TRUE
3 SMDG1302418+215952 FALSE 195.6742 21.9979 267 6.02 Unconstrained Non-Cluster Low 23.997 -8.37 -11.55 -12.05 -12.33 0.33 0.86 0.637 Yes 0.5 TRUE
3 SMDG1306148+275941 FALSE 196.56168 27.99477 2560 1.42 Dense Non-Cluster High 25.146 -10.93 -12.94 -13.23 -13.37 1.34 0.45 0.436 No 0.29 FALSE
3 SMDG1312223+312320 TRUE 198.09275 31.38895 7486 4.37 Sparse Non-Cluster Low 24.284 -14.71 -16.11 -16.37 -16.39 3.08 0.75 0.492 Yes 0.27 FALSE
3 SMDG1315427+311846 TRUE 198.92771 31.31305 7485 4.8 Sparse Non-Cluster Low 23.889 -15.37 -16.66 -16.98 -17.12 6.27 0.7 1.301 Yes 0.32 FALSE
4 1255567+273017 TRUE 193.9863 27.50491 7050 0.98 Dense Cluster High 23.751 -11.87 -14.83 -15.46 -15.81 2.87 0.48 1.225 No 0.63 TRUE
4 1256054+273018 TRUE 194.0225 27.505 11007 0.95 Sparse Non-Cluster Low 25.167 -12.78 -13.71 -14.13 -14.5 2.3 0.91 1.177 No 0.42 FALSE
4 1256142+273321 TRUE 194.05874 27.55588 8473 0.9 Sparse Cluster High 25.016 -11.19 -14.68 -15.35 -15.91 2.43 0.54 0.336 No 0.66 TRUE
4 1256352+273507 TRUE 194.14641 27.58553 7810 0.82 Sparse Cluster High 24.203 -11.33 -15.08 -15.89 -16.27 2.34 0.9 0.952 No 0.8 TRUE
4 1259041+281422 TRUE 194.76682 28.23968 6428 0.31 Dense Cluster High 24.084 -9.39 -13.98 -14.57 -14.97 1.42 0.54 0.698 No 0.59 TRUE
4 1259042+281507 TRUE 194.76771 28.25205 6904 0.32 Dense Cluster High 23.807 -9.50 -14.32 -14.99 -15.43 1.8 0.93 1.316 No 0.68 TRUE
4 1259153+274514 TRUE 194.81375 27.7538888889 6695 0.26 Dense Cluster High 24.825 -10.24 -13.39 -14.21 -14.3 1.97 0.66 1.163 No 0.82 TRUE
4 1259239+274726 TRUE 194.84916 27.79082 7068 0.21 Dense Cluster High 24.666 -12.55 -14.69 -15.35 -15.72 2.91 0.84 1.149 No 0.66 TRUE
4 1259299+274302 TRUE 194.87419 27.71755 4955 0.27 Dense Cluster High 23.754 -10.49 -14.48 -15.14 -15.49 2.03 0.54 1.064 No 0.66 TRUE
4 1259372+274815 TRUE 194.905 27.8041666667 7311 0.18 Dense Cluster High 23.846 -10.18 -13.97 -14.61 -15.01 1.49 0.93 1.254 No 0.64 TRUE
4 1259562+274812 TRUE 194.9841 27.80381 7748 0.18 Dense Cluster High 24.119 -10.22 -14.38 -15.01 -15.49 2.24 0.92 1.358 No 0.63 TRUE
4 1300004+274819 FALSE 195.00166 27.80541 4180 0.18 Sparse Non-Cluster Low 23.597 -8.69 -13.55 -14.22 -14.65 1.02 0.97 1.191 No 0.68 TRUE
4 1300054+275333 FALSE 195.02244 27.89263 6293 0.11 Dense Cluster High 23.429 -10.58 -14.93 -15.62 -16.01 2.17 0.9 1.393 No 0.69 TRUE
4 1300117+274941 TRUE 195.04875 27.8280555556 8191 0.18 Dense Cluster High 24.418 -10.80 -14.73 -15.31 -15.77 2.29 0.87 0.985 No 0.58 TRUE
4 1300121+274823 TRUE 195.050416667 27.8063888889 9038 0.19 Sparse Cluster High 25.53 -10.34 -13.98 -14.44 -14.9 2.26 0.72 0.604 No 0.46 FALSE
4 1300284+274820 FALSE 195.11802 27.80581 6464 0.23 Dense Cluster High 23.392 -11.42 -14.7 -15.29 -15.67 2.07 0.66 1.292 No 0.59 TRUE
4 1300387+272835 FALSE 195.16101 27.47643 7919 0.54 Dense Cluster High 22.47 -12.36 -16.09 -16.61 -16.92 2.31 0.56 1.06 No 0.51 FALSE
4 1301053+270935 TRUE 195.272083333 27.1597222222 6473 0.87 Sparse Cluster High 24.014 -10.61 -14.01 -14.53 -15.01 1.48 0.78 1.02 No 0.53 TRUE
